,,単語,意味,フレーズ,訳,英作問題,和訳問題,
1 ,,follow,に従う,follow her advice,彼女の助言に従う,(    ) her advice,彼女の助言(    ),
2 ,,consider,を考える,consider the problem seriously,真剣にその問題を考える,(    ) the problem seriously,真剣にその問題(    ),
3 ,,increase,増加する,increase by 20%,20%増加する,(    ) by 20%,20%(    ),
4 ,,expect,を予期する,expect you to arrive soon,君がすぐ来ることを予期する,(    ) you to arrive soon,君がすぐ来ること(    ),
5 ,,decide,決意をする,decide to tell the truth,真実を語る決意をする,(    ) to tell the truth,真実を語る(    ),
6 ,,develop,を発達させる,develop a unique ability,特異な能力を発達させる,(    ) a unique ability,特異な能力(    ),
7 ,,provide,を与える,provide him with information,彼に情報を与える,(    ) him with information,彼に情報(    ),
8 ,,continue,続ける,continue to grow fast,急速に成長し続ける,(    ) to grow fast,急速に成長し(    ),
9 ,,include,を含んでいる,The list includes his name.,リストは彼の名前を含んでいる,The list (    ) his name.,リストは彼の名前(    ),
10 ,,remain,ままでいる,remain silent,黙ったままでいる,(    ) silent,黙った(    ),
11 ,,reach,に達する,reach the mountain top,山頂に達する,(    ) the mountain top,山頂(    ),
12 ,,allow,を許可する,allow him to go out,彼に外出を許可する,(    ) him to go out,彼に外出(    ),
13 ,,force,強制される,be forced to work,働くよう強制される,be (    ) to work,働くよう(    ),
14 ,,offer,を申し出る,offer help to the poor,貧しい人に援助を申し出る,(    ) help to the poor,貧しい人に援助(    ),
15 ,,realize,を悟る,realize the error,間違いを悟る,(    ) the error,間違い(    ),
16 ,,suggest,を提案する,suggest a new way,新しいやり方を提案する,(    ) a new way,新しいやり方(    ),
17 ,,require,を必要とする,require more attention,もっと注意を必要とする,(    ) more attention,もっと注意(    ),
18 ,,worry,心配する,worry about money,お金のことを心配する,(    ) about money,お金のことを(    ),
19 ,,wonder,かと思う,wonder where he has gone,彼はどこに行ったのかと思う,(    ) where he has gone,彼はどこに行ったの(    ),
20 ,,cost,かかった,"The car cost me $50,000.",その車には5万ドルかかった,"The car (    ) me $50,000.",その車には5万ドル(    ),
21 ,,tend,がちである,tend to get angry,腹を立てがちである,(    ) to get angry,腹を立て(    ),
22 ,,depend,しだいだ,Everything depends on him.,すべては彼しだいだ,Everything (    ) on him.,すべては彼(    ),
23 ,,share,を共有する,share a room with a friend,友人と部屋を共有する,(    ) a room with a friend,友人と部屋(    ),
24 ,,demand,を要求する,demand more freedom,もっと自由を要求する,(    ) more freedom,もっと自由(    ),
25 ,,support,を支持する,support the President,大統領を支持する,(    ) the President,大統領(    ),
26 ,,hire,を雇う,hire many young people,多くの若者を雇う,(    ) many young people,多くの若者(    ),
27 ,,regard,とみなす,regard him as a friend,彼を友達とみなす,(    ) him as a friend,彼を友達(    ),
28 ,,base,に基づいている,This story is based on fact.,この話は事実に基づいている,This story is (    ) on fact.,この話は事実(    ),
29 ,,improve,を向上させる,improve living conditions,生活状態を向上させる,(    ) living conditions,生活状態(    ),
30 ,,recognize,を認める,recognize the importance,重要性を認める,(    ) the importance,重要性(    ),
31 ,,notice,に気づく,notice the color change,色彩の変化に気づく,(    ) the color change,色彩の変化(    ),
32 ,,suppose,ことになっている,You are supposed to wear a seat belt.,シートベルトを締めることになっている,You are (    ) to wear a seat belt. ,シートベルトを締める(    ),
33 ,,raise,を上げる,raise both hands,両手を上げる,(    ) both hands,両手(    ),
34 ,,prefer,を好む,prefer tea to coffee,コーヒーよりお茶を好む,(    ) tea to coffee,コーヒーよりお茶(    ),
35 ,,cheer,を元気づける,cheer up the patients,患者を元気づける,(    ) up the patients,患者(    ),
36 ,,suffer,を受ける,suffer heavy damage,ひどい損害を受ける,(    ) heavy damage,ひどい損害(    ),
37 ,,describe,の特徴を言う,describe the lost bag,なくしたバッグの特徴を言う,(    ) the lost bag,なくしたバッグ(    ),
38 ,,prevent,をさまたげる,prevent him from sleeping,彼が眠るのをさまたげる,(    ) him from sleeping,彼が眠るの(    ),
39 ,,reduce,を減らす,reduce energy costs,エネルギー費を減らす,(    ) energy costs,エネルギー費(    ),
40 ,,mistake,まちがえる,mistake salt for sugar,塩と砂糖をまちがえる,(    ) salt for sugar,塩と砂糖を(    ),
41 ,,prepare,準備する,prepare a room for a guest,客のために部屋を準備する,(    ) a room for a guest,客のために部屋を(    ),
42 ,,encourage,すすめる,encourage children to read,子供に読書をすすめる,(    ) children to read,子供に読書を(    ),
43 ,,prove,だとわかる,prove to be true,本当だとわかる,(    ) to be true,本当(    ),
44 ,,treat,をあつかう,treat him like a child,子供みたいに彼をあつかう,(    ) him like a child,子供みたいに彼(    ),
45 ,,establish,を設立する,establish a company,会社を設立する,(    ) a company,会社(    ),
46 ,,relate,関係のある,stress-related illness,ストレスと関係のある病気,stress-(    ) illness,ストレスと(    )病気,
47 ,,compare,を比較する,compare Japan with China,日本と中国を比較する,(    ) Japan with China,日本と中国(    ),
48 ,,spread,を広げる,spread the tablecloth,テーブルクロスを広げる,(    ) the tablecloth,テーブルクロス(    ),
49 ,,refer,指示する,What does this word refer to?,この語は何を指示するか,What does this word (    ) to?,この語は何を(    )か,
50 ,,supply,を供給する,supply the city with water,その都市に水を供給する,(    ) the city with water,その都市に水(    ),
51 ,,gain,を得る,gain useful knowledge,有益な知識を得る,(    ) useful knowledge,有益な知識(    ),
52 ,,destroy,を破壊する,destroy forests,森林を破壊する,(    ) forests,森林(    ),
53 ,,apply,を当てはめる,apply the rule to every case,全ての場合に規則を当てはめる,(    ) the rule to every case,全ての場合に規則(    ),
54 ,,seek,を求める,seek help from the police,警官に助けを求める,(    ) help from the police,警官に助け(    ),
55 ,,search,捜す,search for the stolen car,盗難車を捜す,(    ) for the stolen car,盗難車を(    ),
56 ,,claim,と主張する,He claims that he saw a UFO.,彼はUFOを見たと主張する,He (    ) that he saw a UFO.,彼はUFOを見た(    ),
57 ,,draw,を描く,draw a map,地図を描く,(    ) a map,地図(    ),
58 ,,refuse,を拒む,refuse to give up hope,希望を捨てるのを拒む,(    ) to give up hope,希望を捨てるの(    ),
59 ,,respond,答える,respond to question,質問に答える,(    ) to question,質問に(    ),
60 ,,mention,を口にする,Never mention it again.,二度とそのことを口にするな,Never (    ) it again.,二度とそのこと(    )な,
61 ,,judge,判断する,judge a person by his looks,人を外見で判断する,(    ) a person by his looks,人を外見で(    ),
62 ,,approach,に接近している,The plane is approaching Chicago.,飛行機はシカゴに接近している,The plane is (    ) Chicago.,飛行機はシカゴ(    ),
63 ,,admit,と認める,I admit that I was wrong.,自分が間違っていたと認める,I (    ) that I was wrong.,自分が間違っていた(    ),
64 ,,reflect,を反映する,reflect the mood of the times,時代の気分を反映する,(    ) the mood of the times,時代の気分(    ),
65 ,,perform,を遂行する,perform the job,仕事を遂行する,(    ) the job,仕事(    ),
66 ,,bore,退屈な,a very boring movie,すごく退屈な映画,a very (    ) movie,すごく(    )映画,
67 ,,survive,生き残る,survive in the jungle,ジャングルで生き残る,(    ) in the jungle,ジャングルで(    ),
68 ,,represent,を表す,Words represent ideas.,言葉は考えを表す,Words (    ) ideas.,言葉は考え(    ),
69 ,,argue,と主張する,argue that he is right,彼は正しいと主張する,(    ) that he is right,彼は正しい(    ),
70 ,,grant,を当然と考える,take freedom for granted,自由を当然と考える,take freedom for (    ),自由(    ),
71 ,,indicate,を示す,The data indicate that he is right.,データは彼が正しいことを示す,The data (    ) that he is right.,データは彼が正しいこと(    ),
72 ,,belong,のものだ,The book belongs to Howard.,その本はハワードのものだ,The book (    ) to Howard.,その本はハワード(    ),
73 ,,acquire,を習得する,acquire a language,言語を習得する,(    ) a language,言語(    ),
74 ,,reply,返事をする,reply to his letter,彼の手紙に返事をする,(    ) to his letter,彼の手紙に(    ),
75 ,,feed,を養う,feed a large family,大勢の家族を養う,(    ) a large family,大勢の家族(    ),
76 ,,escape,逃避する,escape from reality,現実から逃避する,(    ) from reality,現実から(    ),
77 ,,replace,に取って代わる,replace the old system,古い制度に取って代わる,(    ) the old system,古い制度(    ),
78 ,,reveal,を明らかにする,reveal a surprising fact,驚くべき事実を明らかにする,(    ) a surprising fact,驚くべき事実(    ),
79 ,,surround,囲まれている,Japan is surrounded by the sea.,日本は海に囲まれている,Japan is (    ) by the sea.,日本は海に(    ),
80 ,,suit,に合っている,The job suits you.,その仕事は君に合っている,The job (    ) you.,その仕事は君(    ),
