,,単語,意味,フレーズ,訳,英作問題,和訳問題,
1 ,1 ,run,を経営する,run a big company,大会社を経営する,(    ) a big company,大会社(    ),
2 ,1 ,meet,を満たす,meet people's needs,人々の必要を満たす,(    ) people's needs,人々の必要(    ),
2 ,2 ,meet,に対処する,how to meet the problem,問題に対処する方法,how to (    ) the problem,問題(    )方法,
3 ,3 ,right,すぐ,right in front of my house,私の家のすぐ前に,(    ) in front of my house,私の家の(    )前に,
3 ,1 ,right,権利,the right to vote,投票する権利,the (    ) to vote,投票する(    ),
3 ,2 ,right,善,right and wrong,善と悪,(    ) and wrong,(    )と悪,
4 ,1 ,last,続いた,The war lasted four years.,戦争は４年続いた,The war (    ) four years.,戦争は４年(    ),
4 ,3 ,last,そうにない,the last man who would tell a lie,最も嘘をつきそうにない人,the (    ) man who would tell a lie,最も嘘をつき(    )人,
4 ,2 ,last,もつ,Our food will last a week.,食料は１週間もつだろう,Our food will (    ) a week.,食料は１週間(    )だろう,
4 ,4 ,last,最近,He's moved twice in the last year.,彼は最近１年間に２回引っ越した,He's moved twice in the (    ) year.,彼は(    )１年間に２回引っ越した,
5 ,1 ,stand,には耐え,I can't stand this heat.,この暑さには耐えられない,I can't (    ) this heat.,この暑さ(    )られない,
6 ,2 ,turn,変わり目,the turn of the century,世紀の変わり目,the (    ) of the century,世紀の(    ),
6 ,1 ,turn,番,Now it's your turn.,さあ君の番だ,Now it's your (    ).,さあ君の(    )だ,
7 ,4 ,case,患者［症例］,new cases of malaria,マラリアの新しい患者［症例］,new (    ) of malaria,マラリアの新しい(    ),
7 ,3 ,case,主張,make a case for war,戦争を支持する主張をする,make a (    ) for war,戦争を支持する(    )をする,
7 ,1 ,case,事実,It is also the case with him.,それは彼についても事実だ,It is also the (    ) with him.,それは彼についても(    )だ,
7 ,2 ,case,事件,a murder case,殺人事件,a murder (    ),殺人(    ),
8 ,1 ,face,に直面する［立ち向かう］,face a problem,問題に直面する［立ち向かう］,(    ) a problem,問題(    ),
8 ,2 ,face,に迫っている,problems facing Japan,日本に迫っている問題,problems (    ) Japan,日本(    )問題,
8 ,3 ,face,面目,lose face,面目を失う,lose (    ),(    )を失う,
9 ,2 ,certain,確信している,I am certain of his success.,私は彼の成功を確信している,I am (    ) of his success.,私は彼の成功を(    ),
9 ,1 ,certain,ある,a certain amount of time,ある程度の時間,a (    ) amount of time,(    )程度の時間,
9 ,3 ,certain,確実だ,He is certain to come.,彼が来るのは確実だ,He is (    ) to come.,彼が来るのは(    ),
10 ,3 ,company,来客,We have company today.,今日は来客がある,We have (    ) today.,今日は(    )がある,
10 ,2 ,company,一緒にいること,I enjoy your company.,君と一緒にいることは楽しい,I enjoy your (    ).,君と(    )は楽しい,
10 ,1 ,company,仲間,keep bad company,悪い仲間とつきあう,keep bad (    ),悪い(    )とつきあう,
11 ,3 ,attend,注意する,attend to what he says,彼の言うことに注意する,(    ) to what he says,彼の言うことに(    ),
11 ,2 ,attend,世話する,attend to patients,患者を世話する,(    ) to patients,患者を(    ),
11 ,1 ,attend,に出席する,attend the meeting,ミーティングに出席する,(    ) the meeting,ミーティング(    ),
12 ,2 ,otherwise,その他の点では,He is poor but otherwise happy.,彼は貧しいがその他の点では幸福だ,He is poor but (    ) happy.,彼は貧しいが(    )幸福だ,
12 ,1 ,otherwise,さもなければ,He worked hard; otherwise he would have failed.,彼は努力した。さもなければ失敗しただろう。,He worked hard; (    ) he would have failed.,彼は努力した。(    )失敗しただろう。,
12 ,4 ,otherwise,ちがう方法で,I can't do it otherwise.,ちがう方法ではできない,I can't do it (    ).,(    )はできない,
12 ,3 ,otherwise,違う,"He is honest, but people think otherwise.",彼は正直なのに人は違うと思っている,"He is honest, but people think (    ).",彼は正直なのに人は(    )と思っている,
13 ,3 ,miss,見逃す,You can't miss it.,見逃すはずないよ,You can't (    ) it.,(    )はずないよ,
13 ,1 ,miss,に乗り遅れる,miss the last train,終電車に乗り遅れる,(    ) the last train,終電車(    ),
13 ,2 ,miss,が恋しい,I sometimes miss Japan.,時には日本が恋しい,I sometimes (    ) Japan.,時には日本(    ),
14 ,2 ,term,期,long-term planning,長期的な計画,long-(    ) planning,長(    )的な計画,
14 ,3 ,term,仲,I am on good terms with him.,彼とは仲がよい,I am on good (    ) with him.,彼とは(    )がよい,
14 ,1 ,term,用語,use scientific terms,科学用語を使う,use scientific (    ),科学(    )を使う,
15 ,3 ,practice,を営む,practice medicine,医者を営む,(    ) medicine,医者(    ),
15 ,1 ,practice,実践,theory and practice,理論と実践,theory and (    ),理論と(    ),
15 ,2 ,practice,習慣,business practice,商習慣,business (    ),商(    ),
16 ,2 ,challenge,に異議をとなえる,challenge the theory,その理論に異議をとなえる,(    ) the theory,その理論(    ),
16 ,1 ,challenge,難問,face a new challenge,新しい難問に直面する,face a new (    ),新しい(    )に直面する,
17 ,1 ,race,人種,a race problem,人種問題,a (    ) problem,(    )問題,
18 ,1 ,issue,問題,a political issue,政治問題,a political (    ),政治(    ),
18 ,3 ,issue,号,the latest issue of Time,「タイム」の最新号,the latest (    ) of Time,「タイム」の最新(    ),
18 ,2 ,issue,を出す,issue an order,命令を出す,(    ) an order,命令(    ),
19 ,1 ,party,党,the Democratic Party,民主党,the Democratic (    ),民主(    ),
19 ,2 ,party,団,a party of tourists,観光客の一団,a (    ) of tourists,観光客の一(    ),
19 ,3 ,party,相手,Your party is on the line.,相手の方が電話に出ています,Your (    ) is on the line.,(    )の方が電話に出ています,
20 ,1 ,room,余地,There is no room for doubt.,疑問の余地はない,There is no (    ) for doubt.,疑問の(    )はない,
21 ,1 ,sense,意味,"In a sense, it is right.",ある意味ではそれは正しい,"In a (    ), it is right.",ある(    )ではそれは正しい,
21 ,2 ,sense,正気,He came to his senses.,彼は正気に戻った,He came to his (    ).,彼は(    )に戻った,
22 ,1 ,do,十分役に立つ,This pen will do.,このペンで十分役に立つ,This pen will (    ).,このペンで(    ),
22 ,2 ,do,を与える,do harm to the area,その地域に害を与える,(    ) harm to the area,その地域に害(    ),
